ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('5554',)	Ashdod (ISR)	ISR
('1417',)	Ashkelon (ISR)	ISR
('1212',)	Ashland (USA)	USA
('3166',)	Ashtabula (USA)	USA
('3771',)	Ashtart Terminal (TUN)	TUN
('9888',)	Asike (IDN)	IDN
('6092',)	Askoy (NOR)	NOR
('5997',)	Askvoll (NOR)	NOR
('7919',)	Asnaesvaerkets Havn (DNK)	DNK
('10053',)	Asperen (NLD)	NLD
('4579',)	Aspra Spitia (GRC)	GRC
('5633',)	Aspropyrgos (GRC)	GRC
('5652',)	Assab (ERI)	ERI
('5179',)	Assen (NLD)	NLD
('3139',)	Assens (DNK)	DNK
('1114',)	Astakos (GRC)	GRC
('10192',)	Astara (AZE)	AZE
('939',)	Astillero (ESP)	ESP
('191',)	Astipalia (GRC)	GRC
('5588',)	Astoria (USA)	USA
('1540',)	Astrakhan (RUS)	RUS
('1162',)	Asuncion (PRY)	PRY
('4521',)	Asvall (NOR)	NOR
('10486',)	Asyaport (TUR)	TUR
('2904',)	Atalantis Bay (GRC)	GRC
('663',)	Atapupu (IDN)	IDN
('10346',)	Athena Field (GBR)	GBR
('4891',)	Atico (PER)	PER
('1040',)	Atimonan (PHL)	PHL
('9763',)	Atka (USA)	USA
('3979',)	Atlantic ()	
('1695',)	Atsu (JPN)	JPN
('4487',)	Atsumi (JPN)	JPN
('9810',)	Attu (GRL)	GRL
('8803',)	Attu Is. (USA)	USA
('10728',)	Atuabo (GHA)	GHA
('6087',)	Atucha (ARG)	ARG
('4620',)	Auckland (NZL)	NZL
('7860',)	Audierne (FRA)	FRA
('3052',)	Aughinish Is. (IRL)	IRL
('2685',)	Augusta (ITA)	ITA
('4275',)	Augustenborg (DNK)	DNK
('3045',)	Auk Terminal (GBR)	GBR
('5329',)	Aukra (NOR)	NOR
('8691',)	Aulds Cove (CAN)	CAN
('2585',)	Austevoll (NOR)	NOR
('7553',)	Australasia ()	
('377',)	Australia (AUS)	AUS
('6430',)	Austria (AUT)	AUT
('199',)	Aux Cayes (HTI)	HTI
('8177',)	Avachinskaya Bay (RUS)	RUS
('8246',)	Avaldsnes (NOR)	NOR
('9665',)	Avalon (USA)	USA
('9521',)	Avedore (DNK)	DNK
('5106',)	Aveiro (PRT)	PRT
('2662',)	Averoy (NOR)	NOR
('5389',)	Avila (USA)	USA
('3422',)	Aviles (ESP)	ESP
('4314',)	Avlis (GRC)	GRC
('7930',)	Avola (ITA)	ITA
('4189',)	Avondale (USA)	USA
('1049',)	Avonmouth (GBR)	GBR
('9882',)	Avrille (FRA)	FRA
('9517',)	Awaji (JPN)	JPN
('1488',)	Awajishima (JPN)	JPN
('3053',)	Axel Sassing (NLD)	NLD
('2583',)	Ayancik (TUR)	TUR
('6277',)	Ayia Galini (GRC)	GRC
('3692',)	Ayia Marina(Greece) (GRC)	GRC
('8555',)	Ayia Marina(Leros Is.) (GRC)	GRC
('8758',)	Ayios Evstratios (GRC)	GRC
('2740',)	Ayios Nikolaos(Crete) (GRC)	GRC
('2844',)	Ayios Nikolaos(Kea) (GRC)	GRC
('469',)	Aylesford (GBR)	GBR
('805',)	Ayr (GBR)	GBR
('2804',)	Ayvalik (TUR)	TUR
('1155',)	Az Zawiyah (LBY)	LBY
('6448',)	Azerbaijan (AZE)	AZE
('10408',)	Azhikkal (IND)	IND
('3202',)	Azores (AZO)	AZO
('7666',)	Azov (RUS)	RUS
('1967',)	Azua (DOM)	DOM
('10043',)	Azurite Field (COG)	COG
('8935',)	Ba Vi Terminal (VNM)	VNM
('2406',)	Baasrode (BEL)	BEL
('9545',)	Bab el Mandeb Strait (YEM)	YEM
('5184',)	Babahoyo (ECU)	ECU
('8013',)	Babo (IDN)	IDN
('1507',)	Bacan Is. (IDN)	IDN
('6384',)	Bach Ho Terminal (VNM)	VNM
('3937',)	Bachaquero (VEN)	VEN
('1674',)	Backfors (SWE)	SWE
('890',)	Backviken (SWE)	SWE
('5561',)	Bacolod (PHL)	PHL
('5404',)	Bacong (PHL)	PHL
('6149',)	Badas (IDN)	IDN
